Date,Close/Last,Volume,Open,High,Low
02/19/2021,3223.46,--,3195.06,3241.71,3188.12
02/18/2021,3146.79,--,3142.24,3160.02,3108.47
02/17/2021,3178.24,--,3197.27,3216.39,3138.05
02/16/2021,3238.92,--,3250.56,3269.02,3222.44
02/12/2021,3219.87,--,3172.23,3226.08,3155.59
02/11/2021,3180.84,--,3107.17,3182.62,3106.15
02/10/2021,3074.86,--,3096.01,3108.92,3035.04
02/09/2021,3064.95,--,3070.79,3089.39,3053.57
02/08/2021,3078.48,--,3013.09,3079.28,3010.71
02/05/2021,2985.01,--,3028.02,3029.48,2982.7
02/04/2021,3008.42,--,2966.53,3010.53,2951.95
02/03/2021,2982.87,--,3057.63,3063.28,2982.48
02/02/2021,3047.33,--,3047.38,3049.3,3005.12
02/01/2021,2999.99,--,2938.7,3006.7,2924.67
01/29/2021,2887.08,--,2940.78,2954.71,2875.12
01/28/2021,2935.12,--,2933.12,2977.53,2909.12
01/27/2021,2875.13,--,2941.59,2961.56,2862.24
01/26/2021,3031.77,--,3078.08,3079.39,3030
01/25/2021,3079.21,--,3102.93,3107.82,3023.62
01/22/2021,3074.4,--,3098.36,3116.24,3073.94
01/21/2021,3132.17,--,3110.78,3141.02,3081.9
01/20/2021,3085.04,--,3124.03,3138.56,3077.26
01/19/2021,3093.32,--,3041.88,3097.53,3034.99
01/15/2021,2992.77,--,3043.45,3043.45,2975.96
01/14/2021,3055.64,--,3037.42,3089.71,3029.73
01/13/2021,2991.95,--,3019.74,3020.73,2980.15
01/12/2021,2988.02,--,2989.1,3014.36,2959.92
01/11/2021,2969.92,--,2915.14,2991.6,2914.08
01/08/2021,2936.47,--,2982.33,2994.07,2904.54
01/07/2021,2937,--,2873.66,2943.88,2873.17
01/06/2021,2827.96,--,2820.86,2884.61,2803.52
01/05/2021,2837.17,--,2783.18,2838.19,2782.62
01/04/2021,2783.21,--,2821.99,2872.2,2763.09
12/31/2020,2795.5,--,2787.68,2798.14,2768.43
12/30/2020,2783.77,--,2754.74,2788.92,2754.74
12/29/2020,2738.05,--,2757.59,2757.72,2709.02
12/28/2020,2744.3,--,2780.98,2782.66,2741.9
12/24/2020,2750.24,--,2733.73,2751.7,2730.83
12/23/2020,2723.53,--,2754.9,2754.9,2721.94
12/22/2020,2743.97,--,2747.16,2750.96,2722.68
12/21/2020,2747.29,--,2718.72,2751.15,2703.77
12/18/2020,2764.74,--,2783.09,2786.09,2746.37
12/17/2020,2778.14,--,2791.4,2792.07,2768.06
12/16/2020,2773.42,--,2779.96,2780.52,2753.93
12/15/2020,2774.79,--,2774.61,2779.81,2753.21
12/14/2020,2736.25,--,2723.89,2751.76,2723.89
12/11/2020,2704.08,--,2703.78,2724.61,2675.37
12/10/2020,2733.67,--,2712.02,2754.56,2704.57
12/09/2020,2734.77,--,2799.66,2822.03,2718.91
12/08/2020,2816.27,--,2804.99,2825.94,2790.33
12/07/2020,2806.61,--,2796.3,2809.04,2780.11
12/04/2020,2793.03,--,2728.57,2793.74,2724.6
12/03/2020,2716.15,--,2730.26,2745.91,2713.61
12/02/2020,2716.35,--,2702.89,2728.03,2697.27
12/01/2020,2709.73,--,2692.14,2724.62,2679.41
11/30/2020,2663.49,--,2638.11,2666.12,2604.5
11/27/2020,2631.56,--,2625.72,2647.64,2625.46
