date,close_price,volume,open_price,high,low,RA_5,RA_10,MACD,CCI,ATR,BOLL_middle,BOLL_upper,BOLL_lower,MA_5,MA_10,MTM_1,MTM_3,ROC,WPR,SPY_500,VIX,SOX
2021-02-19,63.01,28290120,61.91,63.26,61.85,0.5175326076683466,1.6616284181488954,2.246253147412574,141.39125561870202,1.474642857142857,58.50124999999999,63.7964665914153,53.20603340858468,62.15,60.63899999999999,11.909999999999997,10.189999999999998,19.291934873154105,0.966887417218543,390.03,18.22,3223.46
2021-02-18,61.61,17846140,60.645,61.98,60.64,0.5856961669671411,1.53708848151302,2.166490438752021,103.09789385893392,1.4857142857142855,58.473749999999995,63.67998364343168,53.26751635656831,61.67999999999999,60.216999999999985,11.0,8.240000000000002,15.43938542252202,0.8323353293413176,390.72,17.49,3146.79
2021-02-17,61.85,21065330,61.49,62.185,61.21,1.2767301985932664,1.6302711430924615,2.1757170842252407,128.53267447938828,1.662142857142857,58.326750000000004,63.33263880719499,53.32086119280502,61.129999999999995,59.82399999999999,12.18,9.18,17.429276628061512,0.8751529987760102,392.39,16.73,3178.24
2021-02-16,62.47,26326300,62.0,62.87,61.7,1.501287447492984,1.559419443254444,2.1314104814041386,172.35782867199546,1.7085714285714286,58.13375,62.871887687952935,53.395612312047064,60.516000000000005,59.439,12.649999999999999,11.100000000000001,21.607942378820326,0.9582027168234066,392.3,15.5,3238.92
2021-02-12,61.81,26214180,60.6,62.51,60.43,1.1915301087257515,1.3909381726015002,1.9807295377102463,171.07837370920677,1.721428571428572,57.889250000000004,62.191754241717845,53.58674575828216,59.854,58.86100000000001,13.060000000000002,10.120000000000005,19.578254981621214,0.9239956568946801,392.64,15.61,3219.87
2021-02-11,60.66,27539120,59.095,60.99,58.86,0.8294190738100963,1.3383082604542198,1.8267952490287982,121.27521953502206,1.758571428571429,57.76125,61.72885365334039,53.79364634665961,59.128,58.230999999999995,11.269999999999996,9.649999999999999,18.91785924328563,0.9570871261378406,390.71,16.75,3180.84
2021-02-10,58.86,16325150,59.3,59.42,58.12,0.31859692402783724,1.2079239421420542,1.7208384623985964,61.581785931738835,2.021428571428572,57.575750000000006,61.32479157752352,53.82670842247649,58.754000000000005,57.77150000000002,11.79,6.619999999999997,12.672281776416533,0.8797468354430383,390.08,16.82,3074.86
2021-02-09,58.78,28754080,58.77,59.31,57.935,0.5236945674722999,1.6767117373001232,1.743841422555711,58.18647188038898,2.3376214285714285,57.29475,61.43834201056281,53.15115798943719,58.517999999999994,57.2445,11.71,7.0,13.51873310158362,0.5145539906103287,390.25,18.04,3064.95
2021-02-08,59.16,34358300,58.375,59.22,57.95,0.5383827634685187,1.691761286352184,1.7559820528281591,65.59521295474165,2.3272642857142856,56.93275,61.71055438590782,52.15494561409218,58.362,56.8875,12.589999999999996,7.969999999999999,15.569447157647975,0.5502347417840372,390.51,16.75,3078.48
2021-02-05,58.18,23432610,59.0,59.08,58.12,0.6910687375362893,1.554597134308435,1.7072454456074908,59.9606837802081,2.325121428571429,56.557249999999996,61.73921630151142,51.37528369848857,57.86800000000001,56.515499999999996,12.009999999999998,6.75,13.124635426793702,0.4582159624413146,387.71,15.56,2985.01
