Date,Close/Last,Volume,Open,High,Low
02/19/2021,$96.22,1213067,$100.12,$100.7106,$96.12
02/18/2021,$99.59,1538694,$95.43,$101.14,$95.08
02/17/2021,$96.02,877228,$96.44,$97.2,$95.27
02/16/2021,$96.84,1791327,$90.6,$96.97,$90.14
02/12/2021,$89.39,811049,$88,$89.48,$87
02/11/2021,$88,683484,$90.44,$90.44,$87.98
02/10/2021,$90.29,692545,$92,$92.46,$89.985
02/09/2021,$92.14,728794,$92.43,$92.9,$91.085
02/08/2021,$92.01,1263457,$90.9,$92.34,$88.95
02/05/2021,$89.56,1714677,$93.08,$94.14,$89.09
02/04/2021,$95.12,693485,$95.03,$96.68,$94.26
02/03/2021,$95.35,645736,$96.04,$98.17,$94.81
02/02/2021,$97.49,912981,$95.98,$98.66,$95.98
02/01/2021,$94.95,683166,$92.16,$94.96,$91.9
01/29/2021,$91.73,633859,$92.48,$92.75,$90.165
01/28/2021,$92.52,645898,$91.51,$94.32,$91.07
01/27/2021,$91.56,1084056,$95.23,$95.57,$91.04
01/26/2021,$95.73,632884,$95.08,$96.65,$94.325
01/25/2021,$95.59,462594,$95.19,$95.88,$93.6
01/22/2021,$95.2,479769,$96.01,$96.01,$94.93
01/21/2021,$96.08,548163,$97.29,$97.45,$94.89
